,gamma,epsilon,time,iterations,reward,average_steps,steps_stddev,success_pct,policy,mean_rewards,max_rewards,error
0,0.1,0.01,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,"{(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)}","{(0.020833333333333332,)}","{(0.3333333333333333,)}","{(0.3333333333333333,)}"
1,0.1,1e-05,0.0,4.0,0.3452345679012345,19.69868995633188,9.825599219920914,22.89999999999999,"{(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828)}","{(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345)}","{(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05)}"
2,0.1,1e-08,0.0009903907775878906,7.0,0.34523902560585273,29.775824175824177,19.219674790329023,45.49999999999999,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828, 0.02312039609053498, 0.023120541838134428, 0.023120555469821672)}","{(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345, 0.345238683127572, 0.34523899862825785, 0.34523902560585273)}","{(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05, 5.349794238683481e-06, 4.938271604970623e-07, 3.88660265205178e-08)}"
3,0.1,1e-12,0.0009748935699462891,11.0,0.34523902800750506,30.011135857461024,19.44158885241287,44.9,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02291666666666667, 0.02310185185185185, 0.023118827160493828, 0.02312039609053498, 0.023120541838134428, 0.023120555469821672, 0.023120556748209117, 0.023120556868522327, 0.023120556879862485, 0.02312055688093328)}","{(0.3333333333333333, 0.34444444444444444, 0.34518518518518515, 0.3452345679012345, 0.345238683127572, 0.34523899862825785, 0.34523902560585273, 0.34523902780064014, 0.3452390279901438, 0.34523902800611356, 0.34523902800750506)}","{(0.3333333333333333, 0.011111111111111127, 0.0007407407407407415, 7.407407407407016e-05, 5.349794238683481e-06, 4.938271604970623e-07, 3.88660265205178e-08, 3.490321597715562e-09, 2.9416247530281853e-10, 2.5775204887112935e-11, 2.3122040306716718e-12)}"
4,0.3,0.01,0.001068115234375,3.0,0.3733333333333333,0.0,0.0,0.0,"{(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0)}","{(0.020833333333333332, 0.02708333333333333, 0.028749999999999998)}","{(0.3333333333333333, 0.36666666666666664, 0.3733333333333333)}","{(0.3333333333333333, 0.03333333333333333, 0.006666666666666665)}"
5,0.3,1e-05,0.0010006427764892578,8.0,0.3751011333333333,28.59016393442623,18.809987797888972,42.7,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663)}","{(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333)}","{(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06)}"
6,0.3,1e-08,0.0010008811950683594,13.0,0.37510280006799995,31.713963963963963,20.773698798347567,44.39999999999999,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663, 0.029384356041666664, 0.02938457925, 0.029384642479166667, 0.02938466040625, 0.02938466549395833)}","{(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333, 0.3751023766666666, 0.375102691, 0.3751027731666666, 0.37510279444666667, 0.37510280006799995)}","{(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06, 1.930000000000681e-06, 5.073333333369123e-07, 1.3653333333536743e-07, 3.6546666666819987e-08, 1.0301000000038918e-08)}"
7,0.3,1e-12,0.0020110607147216797,20.0,0.3751028020924122,29.680170575692962,21.312680069400628,46.9,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.02708333333333333, 0.028749999999999998, 0.02920833333333333, 0.029335416666666666, 0.02937083333333333, 0.029380770833333333, 0.029383566666666663, 0.029384356041666664, 0.02938457925, 0.029384642479166667, 0.02938466040625, 0.02938466549395833, 0.029384666938654165, 0.029384667349117707, 0.02938466746578029, 0.02938466749894978, 0.029384667508382846, 0.02938466751106611, 0.029384667511829488)}","{(0.3333333333333333, 0.36666666666666664, 0.3733333333333333, 0.37466666666666665, 0.375, 0.3750766666666666, 0.3750963333333333, 0.3751011333333333, 0.3751023766666666, 0.375102691, 0.3751027731666666, 0.37510279444666667, 0.37510280006799995, 0.37510280155093334, 0.37510280194713996, 0.37510280205325397, 0.37510280208192764, 0.3751028020897058, 0.37510280209182983, 0.3751028020924122)}","{(0.3333333333333333, 0.03333333333333333, 0.006666666666666665, 0.0020000000000000087, 0.0004333333333333342, 0.00012000000000000205, 2.833333333333507e-05, 7.633333333333103e-06, 1.930000000000681e-06, 5.073333333369123e-07, 1.3653333333536743e-07, 3.6546666666819987e-08, 1.0301000000038918e-08, 2.943299999991905e-09, 8.336299999909744e-10, 2.3753266671297513e-10, 6.778816668152193e-11, 1.9660860003305018e-11, 5.689978666728081e-12, 1.6421279890347848e-12)}"
8,0.6,0.01,0.0010004043579101562,6.0,0.44511999999999996,19.14009661835749,11.07177662671282,20.700000000000003,"{(1, 2, 0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.03333333333333333, 0.039999999999999994, 0.04366666666666666, 0.04569999999999999, 0.046833333333333324)}","{(0.3333333333333333, 0.39999999999999997, 0.42666666666666664, 0.4373333333333333, 0.4426666666666666, 0.44511999999999996)}","{(0.3333333333333333, 0.06666666666666667, 0.026666666666666672, 0.015999999999999986, 0.006933333333333347, 0.003839999999999996)}"
9,0.6,1e-05,0.0010004043579101562,17.0,0.44764703969771513,29.07311320754717,18.358891571712633,42.400000000000006,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.020833333333333332, 0.03333333333333333, 0.039999999999999994, 0.04366666666666666, 0.04569999999999999, 0.046833333333333324, 0.04746933333333332, 0.047827199999999986, 0.04802927999999999, 0.04814356266666665, 0.048208309333333324, 0.048245023999999984, 0.04826586325333332, 0.048277698201599994, 0.04828442323626665, 0.04828824603579733, 0.04829041983173973)}","{(0.3333333333333333, 0.39999999999999997, 0.42666666666666664, 0.4373333333333333, 0.4426666666666666, 0.44511999999999996, 0.4463786666666666, 0.4469930666666666, 0.44731135999999994, 0.4474722986666666, 0.4475564373333333, 0.4476000187733333, 0.4476230437546666, 0.4476351919445333, 0.44764168339455995, 0.447645160538112, 0.44764703969771513)}","{(0.3333333333333333, 0.06666666666666667, 0.026666666666666672, 0.015999999999999986, 0.006933333333333347, 0.003839999999999996, 0.0018133333333333404, 0.0009770666666666789, 0.0004940800000000148, 0.0002597546666666395, 0.00013981013333332765, 7.484757333333335e-05, 4.219289600000155e-05, 2.4111513599997872e-05, 1.365819392000131e-05, 7.783470421332886e-06, 4.4425652906670415e-06)}"
