,gamma,epsilon,time,iterations,reward,average_steps,steps_stddev,success_pct,policy,mean_rewards,max_rewards,error
0,0.1,0.0,0.003004312515258789,4.0,0.34523902800763673,29.303370786516854,18.652712845668503,44.49999999999999,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.02229577172300462, 0.02311610863174016, 0.023120554613403378, 0.023120556881045046)}","{(0.3448275862068965, 0.34522573879898694, 0.34523902800635375, 0.34523902800763673)}","{(0.011494252873563218, 2.6056401101418094e-05, 3.111048000438034e-08, 5.551115123125783e-17)}"
1,0.2,0.0,0.001993894577026367,4.0,0.358991585802091,30.719745222929937,20.32073012889011,47.099999999999994,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.023923990054208158, 0.025865535148462227, 0.025907285280988037, 0.025907384033753814)}","{(0.3571428571428571, 0.35887536229536143, 0.3589915853721422, 0.358991585802091)}","{(0.023809523809523808, 0.00022172900704323778, 1.151277444031226e-06, 5.551115123125783e-17)}"
2,0.3,0.0,0.0010001659393310547,4.0,0.3751028020926342,29.203579418344518,21.388934513580686,44.699999999999996,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.025752278321959237, 0.029214679119947795, 0.029383611436262405, 0.029384667512133106)}","{(0.37037037037037035, 0.3746659825640992, 0.375102787054148, 0.3751028020926342)}","{(0.037037037037037035, 0.0008029006336179279, 1.0339997327534845e-05, 1.3552527156068805e-20)}"
3,0.4,0.0,0.0009856224060058594,4.0,0.39433199690892157,28.692671394799053,18.152496085669476,42.300000000000004,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.02782608535602875, 0.03335761150345537, 0.03384984832110219, 0.033856384896149144)}","{(0.3846153846153846, 0.3931522816936129, 0.39433178141864794, 0.39433199690892157)}","{(0.05128205128205128, 0.0020617741764068706, 5.2915973139796776e-05, 5.551115123125783e-17)}"
4,0.5,0.0,0.002001523971557617,4.0,0.41786050128665647,28.470338983050848,19.038964548302808,47.199999999999996,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.030207100591715972, 0.03858993591880579, 0.039808528536534396, 0.03983943812923033)}","{(0.39999999999999997, 0.4151572396932992, 0.4178585410256964, 0.41786050128665647)}","{(0.06666666666666665, 0.004411601289032114, 0.00020251523184074485, 5.551115123125783e-17)}"
5,0.6,0.0,0.002001523971557617,4.0,0.44764930005651477,28.936681222707424,18.80601755846511,45.8,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.03298134157509157, 0.045389716233237, 0.048165334792634365, 0.048293288574391975)}","{(0.41666666666666663, 0.44195006297695777, 0.44763535628066753, 0.44764930005651477)}","{(0.08333333333333331, 0.008464844039416164, 0.0006580819268359531, 1.3877787807814457e-17)}"
6,0.7,0.0,0.0010004043579101562,4.0,0.48726690733075856,28.420814479638008,18.18779167058112,44.199999999999996,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.03627250003054355, 0.05459988779172024, 0.06072480404852327, 0.06123345791031376)}","{(0.4347826086956521, 0.47559807546075916, 0.48717836979046314, 0.48726690733075856)}","{(0.10144927536231882, 0.015182116585228585, 0.0019601604951530807, 5.551115123125783e-17)}"
7,0.8,0.0,0.002003908157348633,5.0,0.5441955277720714,30.51868131868132,19.231246964238725,45.49999999999999,"{(1, 3, 2, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.040264922392720524, 0.06792262212145946, 0.07769036066990756, 0.08269958672833766, 0.08377778958662005)}","{(0.4545454545454545, 0.5197540255515389, 0.5412250860908497, 0.5441212700897812, 0.5441955277720714)}","{(0.1212121212121212, 0.026192002425148908, 0.011277025355809269, 0.004302363040832399, 5.551115123125783e-17)}"
8,0.9,0.0,0.0020024776458740234,5.0,0.6390201481186111,42.7675,29.72815910462671,80.0,"{(0, 3, 0, 3, 0, 0, 2, 0, 3, 1, 0, 0, 0, 2, 1, 0)}","{(0.0452452461789103, 0.0902144580841161, 0.12311606746555231, 0.1352175510786241, 0.13600576609334117)}","{(0.4761904761904762, 0.5818649566344144, 0.6344650610234918, 0.6389650771933137, 0.6390201481186111)}","{(0.14285714285714285, 0.04463500350626872, 0.017306100255922316, 0.002106991866823116, 5.551115123125783e-17)}"
